App,Word 1,Word 2,Word 3,Word 4,Word 5
Wysa,help 4.7% (665/14094),feel 3.4% (484/14094),talk 2.7% (379/14094),realli 1.9% (262/14094),like 1.8% (260/14094)
Replika,talk 2.9% (2324/81522),feel 2.2% (1826/81522),like 2.2% (1805/81522),friend 1.7% (1388/81522),help 1.6% (1308/81522)
Chai,talk 2.8% (74/2613),like 2.7% (71/2613),bot 1.7% (44/2613),love 1.6% (41/2613),realli 1.6% (41/2613)
Igirl,like 2.7% (38/1386),lone 2.7% (38/1386),talk 2.4% (33/1386),feel 2.2% (31/1386),realli 1.8% (25/1386)
Simsimi,talk 5.7% (404/7060),simsimi 2.8% (195/7060),friend 2.6% (183/7060),love 2.3% (163/7060),u 2.2% (157/7060)
Cleverbot,talk 3.2% (14/432),fun 3.0% (13/432),friend 2.3% (10/432),peopl 2.1% (9/432),lone 1.9% (8/432)
Chatgpt,talk 2.0% (20/1020),help 1.8% (18/1020),like 1.7% (17/1020),friend 1.6% (16/1020),answer 1.3% (13/1020)
